raw_row_id,product_id,retailer,date,product_name,price,price_per_unit,unit,own_brand_flag,completeness_score
2830728,aldi_000794,Aldi,2024-01-27,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2826887,aldi_000794,Aldi,2024-01-28,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2818467,aldi_000794,Aldi,2024-01-29,Bramwells Chicken Noodle Soup 400g,0.67,1.7,kg,False,6
2816226,aldi_000794,Aldi,2024-01-30,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2809760,aldi_000794,Aldi,2024-01-31,Bramwells Chicken Noodle Soup 400g,0.67,1.7,kg,False,6
2804710,aldi_000794,Aldi,2024-02-01,Bramwells Chicken Noodle Soup 400g,0.67,1.7,kg,False,6
2800720,aldi_000794,Aldi,2024-02-04,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2794897,aldi_000794,Aldi,2024-02-05,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2791878,aldi_000794,Aldi,2024-02-06,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2783697,aldi_000794,Aldi,2024-02-07,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2781294,aldi_000794,Aldi,2024-02-08,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2775721,aldi_000794,Aldi,2024-02-09,Bramwells Chicken Noodle Soup 400g,0.67,1.7,kg,False,6
2771000,aldi_000794,Aldi,2024-02-10,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2763575,aldi_000794,Aldi,2024-02-11,Bramwells Chicken & Noodle Soup 400g,0.67,1.7,kg,False,6
2760538,aldi_000794,Aldi,2024-02-12,Bramwells Chicken Noodle Soup 400g,0.67,1.7,kg,False,6
2756195,aldi_000794,Aldi,2024-02-13,Bramwells Chicken Noodle Soup 400g,0.67,1.7,kg,False,6
2749056,aldi_000794,Aldi,2024-02-14,Bramwells Chicken & Noodle Soup 400g,0.62,1.6,kg,False,6
2746421,aldi_000794,Aldi,2024-02-15,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2738421,aldi_000794,Aldi,2024-02-16,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2736075,aldi_000794,Aldi,2024-02-17,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2729554,aldi_000794,Aldi,2024-02-18,Bramwells Chicken & Noodle Soup 400g,0.62,1.6,kg,False,6
2719923,aldi_000794,Aldi,2024-02-20,Bramwells Chicken & Noodle Soup 400g,0.62,1.6,kg,False,6
2711699,aldi_000794,Aldi,2024-02-22,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2708670,aldi_000794,Aldi,2024-02-23,Bramwells Chicken & Noodle Soup 400g,0.62,1.6,kg,False,6
2702209,aldi_000794,Aldi,2024-02-24,Bramwells Chicken & Noodle Soup 400g,0.62,1.6,kg,False,6
2699955,aldi_000794,Aldi,2024-02-25,Bramwells Chicken & Noodle Soup 400g,0.62,1.6,kg,False,6
2691714,aldi_000794,Aldi,2024-02-26,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2688436,aldi_000794,Aldi,2024-02-27,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2685524,aldi_000794,Aldi,2024-02-28,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2678980,aldi_000794,Aldi,2024-02-29,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2673397,aldi_000794,Aldi,2024-03-01,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2670203,aldi_000794,Aldi,2024-03-02,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2663684,aldi_000794,Aldi,2024-03-03,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2658091,aldi_000794,Aldi,2024-03-04,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2651597,aldi_000794,Aldi,2024-03-05,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2647511,aldi_000794,Aldi,2024-03-06,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2641713,aldi_000794,Aldi,2024-03-07,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2637163,aldi_000794,Aldi,2024-03-08,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2633383,aldi_000794,Aldi,2024-03-09,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
2628623,aldi_000794,Aldi,2024-03-10,Bramwells Chicken Noodle Soup 400g,0.62,1.6,kg,False,6
